date,day,instrument,tf,signal_day,d,h4,h1,m15,white_space,creeper,claim,hoy_loy,trigger,entry,stop,target,sl_bar_tf,grade,taken,outcome,pnl,mfe_r,notes
06-01-2026,Monday,NASUSD,Daily,,bull BO,,,,,no,none,,,,,,,no,,,,"arrow-only study: marks the big bear day (5/29) that broke the April-May bull run; daily context"
06-01-2026,Monday,U30USD,Daily,,bull BO,,,,,no,none,,,,,,,no,,,,"arrow-only study: marks small weak candle after bull run stalls at highs; daily context"
06-01-2026,Monday,NASUSD,M5,,,,,,,no,gave up high,,BO,,,,M5,,no,,,"his words: 'Valid sell entry? Closes back inside?' + 'Sell?' - pop above level closes back inside; live capture, outcome not on chart"
01-07-2026,Wednesday,NASUSD,H1,,,,bull BO,,,no,claimed high,,BO,,,,,,no,,,,"study of the BUY he did not take: '8-9 closes above previous candle. 9-10 would retrace back into the position 90%. But reverses just at EMA 20 touch' + 'Exit after small wick outside outer band'. Journal that day: 2x SELL NASUSD both LOST - studied buy, traded sell"
01-07-2026,Wednesday,NASUSD,M15,,,,,bull BO,,no,none,,color change,,,,,,no,,,,"entry checklist study: 'BO above SMA (2+ bar closing above SMA)' + 'Consolidation above SMA with no red bar closing below low of previous' + 'CC BO'"
01-07-2026,Wednesday,NASUSD,Daily,bull BO,bull BO,,,,,no,none,,none,,,,,,no,,,,"his words: 'Mon HL HH. Tues confirmed Higher Lows & Higher highs. Wed - Bullish. No need to Sell.' Journal same day: 2x SELL NASUSD both LOST - own daily context said no-sell"
01-07-2026,Wednesday,NASUSD,M15,,,,,pullback,,no,none,,pin bar,,,,,,no,,,,"'This is also good: 3x pin bar from below above SMA 20' - long-entry study"
01-07-2026,Wednesday,EURNZD,M5,,,,,range,,no,none,,none,,,,,,yes,stop,,,"file misnamed NASUSD - chart is EURNZD. 'Looked like LHF so I kept trying to sell in this consolidation' - repeated S marks selling a floor that broke UP; fighting consolidation; sells not in journal"
01-07-2026,Wednesday,NASUSD,M15,,,,,creeper,,yes,none,,BO,,,,,,no,,,,"BUY Low setup defined: 'A Travels down for many hours. B BO. C 2x BO. D CC BO' - proto-creeper language 7 months before the word"
01-07-2026,Wednesday,NASUSD,M15,,,,,bull BO,,no,none,,BO,,,,,,no,,,,"entry sequence study: 'A BO. B M15 consolidates above SMA 20' - the 4PM reversal zone circled"
01-07-2026,Wednesday,EURNZD,H1,,,,range,,,no,none,,pin bar,,,,,,no,,,,"wick-counterevidence rule: 'wick from SMA20 but 2x prominent wicks from below (need to define this more) - if reversed I would not buy, at least be cautious'"
01-14-2026,Wednesday,EURUSD,H4,inside,,inside,,,,no,none,,none,,,,,,yes,,,,"'Tue was Inside Bear day closing with Inside Bear H4 - might move rapidly. I was on M5 Buying/Selling' - journal: BUY lost SELL lost BUY won; chopped both ways on an inside-day read"
01-14-2026,Wednesday,NASUSD,M30,,,,,inside,,no,none,,none,,,,,,no,,,,"'Bear Inside bar on M30. PB just below SMA20 fails from high of IB. 10am retraces - so can exit and re-enter' - the 9-10/10am retrace mechanic again, now with exit-and-reenter framing"
01-14-2026,Wednesday,NASUSD,Daily,bear BO,,,,,,no,none,,engulfing,,,,,,no,,,,"signal-day read: 'Tuesday would be EBP - Engulfing bar play, takes out high of Monday closes below close of Monday. Can also say a FRD.' New vocab: EBP, FRD. Journal NAS: BUY lost, SELL lost, SELL won - the buy fought his own bear read"
01-14-2026,Wednesday,EURNZD,M5,,,,,,,no,none,,pin bar,,,,,,yes,target,,,"file misnamed NASUSD - EURNZD again. 'Bought 3 Lot. Good thing I set the TP, otherwise might have ended up in loss.' SL at pin bar that cleared the lows. NOT in journal - 2nd straight Wednesday with unjournaled EURNZD"
01-14-2026,Wednesday,NASUSD,M5,bear BO,,,,,,no,none,,engulfing,,,,,,yes,stop,,,"'Bought - I thought I might loose. But this is my event and I must trade my event; Elephant Engulfing Clearing bar. Full loss. My event in WRONG LOCATION. B much better - closes above SMA - I also went against B.' Trigger overrode lens, knowingly"
04-22-2026,Wednesday,GOLD,H1,,,,bull BO,,,no,none,,engulfing,,,,,,no,,,,"read in pilot: 'Trend on H1: A BULL 180 or Engulfing of Breakout Bar or Range BO. This is Bull 180, R.BO, and Bear BO Engulfing.' Journal that day: SELL USDCAD lost"
08-12-2026,Wednesday,EURUSD,H1,bear BO,,,bear BO,,below,no,none,in play,exhaustive candle,,,,,,no,,,,"read in pilot: 'Exhaustive big candle through the HOY into the white space 8-9. Entry on M5/15.' Journal that day: SELL U30USD WON +90 (Trap & Shift)"
08-12-2026,Wednesday,EURUSD,M15,bear BO,,,,bull BO,,no,claimed low,in play,none,,,,,,no,,,,"Trap & Shift anatomy with clock windows: 'A Claims the lows 9-9:15. B Small pullback 9:15-9:30. C Claims the lows again 9:30-9:45. Trap & shift.' Same setup name as his U30 WIN that day - the 9-9:45 window formalized"
08-05-2026,Wednesday,OIL,M5,,,,,range,,no,none,,none,,,,M5,,yes,stop,,,"matches journal (SELL win small, BUY lost): 'Sell took small profit. BUY: left the computer to hit SL/TP. And it hit SL.' Walked away mid-trade again"
07-29-2026,Wednesday,EURUSD,M5,,,,,pullback,,no,none,,none,,,,M5,A,yes,stop,,,"journal: BUY lost (SMA20 Catch, graded A). Chart: 'BUY - SMA 20 catch. If opened by my SL and put SL below the low of current day, then it is a HUGE win' - another limit-at-SL sighting, marked would-work"
07-22-2026,Wednesday,GOLD,H1,,,,bull BO,,,no,claimed high,in play,pin bar,,,,,,no,,,,"the winning day's read: '8-9 => 1 Wicks HOY & SMA20. 2 Closes bear but back inside. 3 After 5 hours of consolidation.' Journal: BUY won. 8-9 window again"
07-15-2026,Wednesday,SPX,M5,,,,,bull BO,,no,none,,none,,,,M5,,yes,neither,,,"'Sell 11 lot. Risk 130. BE. Sell high. Very good read. Took BE too early.' Matches journal SELL BE - good read, early exit"
07-08-2026,Wednesday,GOLD,M5,,,,,bear BO,,no,none,,none,,,,M5,,yes,target,,,"'Sold this. I kept thinking that I am down low too much. Setup...?' - doubted location, took it anyway, WON. Sell/SL/TP all marked"
06-24-2026,Wednesday,GOLD,M5,bear BO,,,,creeper,,yes,none,,none,,,,M5,,yes,stop,,,"'Broken down market. Not at the right level. Kept making lower lows.' BUY lost - bought a broken market at wrong level, own words"
06-17-2026,Wednesday,NASUSD,H1,,,,bear BO,,,no,none,,none,,,,,,yes,stop,,,"'If I am selling @ o'clock then I need to be careful of hourly candle & M15' - o'clock-entry caution rule, written after SELL lost"
06-17-2026,Wednesday,NASUSD,M5,,,,,range,,no,none,,none,,,,M5,,yes,stop,,,"'Sold here. My bad habit of TRYING AGAIN after loss. 1 directionally wrong. 2 got in at the bottom of the range.' - revisit habit self-named"
06-17-2026,Wednesday,NASUSD,M5,,,,,range,,no,none,,none,,,,M5,,yes,stop,,,"'Sell. Lost @10:01. I was afraid of missing out.' - FOMO entry at 10:01; same 10:0x minute as the 08-11 Tuesday loss"
06-10-2026,Wednesday,GOLD,M5,bear BO,,,,bear BO,,no,claimed low,,BO,,,,M5,,yes,stop,,,"'Bought. Worst lost. IDK how I missed it. Smashes lows. Attacks the BO. Takes out lows again - my sell entry.' Bought into a cascade he could describe as a sell"
06-10-2026,Wednesday,GOLD,M15,bear BO,,,,bear BO,,no,none,,none,,,,,,no,,,,"'Could have added 200 96 50 EMA - overarching the price - clearly a Broken down market. No need to BUY.' - written post-loss, the lens was available live"
06-10-2026,Wednesday,GOLD,H1,bear BO,,,bear BO,,,no,none,,none,,,,,,no,,,,"'20-30 minutes BEFORE the trade I was saying the market wants to expand to the down side. I'll go back to M5.' - said down, bought anyway; strongest trigger-overrode-lens case yet"
08-19-2026,Wednesday,BLIND:AUDUSD(10-16-2025),M5,,,,,bear BO,below,no,claimed low,,BO,0.52385,0.52335,,M5,,yes,target,,2.48,"FIRST BLIND ROUND (E2E test). Plan: 'Attacks white space. I need bullish close in BO then immediate low claim. Or pullback and 2x low claim.' Guessed SPX - was AUDUSD. Event fired 10:15 EST +1R first; MFE +2.48R by 10:55 then reversed to -3.4R. blind=yes"
